NAME,CEEPR_NAMES,TERRITORIES_TO_MAP,STATES _W_SRVC_TERRITORY,CEEPR_NAMES,ISO/RTO
CITY OF COLBY - (KS),,,,,
CITY OF COLEMAN - (TX),,,,,
CITY OF COLLEGE PARK - (GA),,,,,
CITY OF COLLEGE STATION - (TX),,,,,
CITY OF COLLINS - (MS),,,,,
CITY OF COLLINSVILLE - (OK),,,,,
CITY OF COLMAN - (SD),,,,,
CITY OF COLORADO SPRINGS - (CO),,,,,
CITY OF COLTON - (CA),,,,,
CITY OF COLUMBIA - (MO),,,,,
CITY OF COLUMBIA CITY - (IN),,,,,
CITY OF COLUMBIANA - (OH),,,,,
CITY OF COLUMBUS - (MS),,,,,
CITY OF COLUMBUS - (OH),,,,,
CITY OF COLUMBUS - (WI),,,,,
